demand_heat,boiler,heat_pump,import
-84.397,50.0,34.397000000000006,-0.0
-83.769,50.0,33.769000000000005,-0.0
-97.793,50.0,47.793000000000006,-0.0
-79.397,50.0,29.397000000000006,-0.0
-78.397,50.0,28.397000000000006,-0.0
-90.537,50.0,40.537000000000006,-0.0
-91.165,50.0,41.165000000000006,-0.0
-112.818,50.0,62.818,-0.0
-60.256,50.0,10.256,-0.0
-64.769,50.0,14.769000000000005,-0.0
-65.884,50.0,15.884,-0.0
-80.281,50.0,30.281000000000006,-0.0
-65.025,50.0,15.025000000000006,-0.0
-65.512,50.0,15.512,-0.0
-65.769,50.0,15.769000000000005,-0.0
-21.884,21.884,0.0,-0.0
-11.256,11.256,0.0,-0.0
-1.0,1.0,0.0,-0.0
